사용일자,호선명,역명,승차,하차
20221119,2호선,건대입구,41810,45668
20221119,7호선,고속터미널,18524,13936
20221119,3호선,고속터미널,58131,58076
20221119,9호선,고속터미널,16054,23785
20221119,9호선,국회의사당,5963,6254
20221119,5호선,김포공항,7704,7662
20221119,9호선,김포공항,7954,11272
20221119,3호선,도곡,3822,3855
20221119,1호선,동대문,11202,11035
20221119,2호선,뚝섬,17738,17255
20221119,2호선,사당,37049,42756
20221119,4호선,사당,26222,23452
20221119,1호선,서울역,52881,48650
20221119,신림선,서울지방병무청,1836,1920
20221119,2호선,서초,13308,11140
20221119,분당선,수서,12691,12800
20221119,3호선,수서,16280,16203
20221119,1호선,시청,22633,28367
20221119,경부선,신도림,3397,3779
20221119,2호선,신도림,45859,46968
20221119,경부선,영등포,47153,50187
20221119,5호선,올림픽공원(한국체대),4529,4282
20221119,5호선,왕십리(성동구청),3861,4895
20221119,1호선,청량리(서울시립대입구),19524,20024
20221119,4호선,혜화,41068,42019
20221119,2호선,홍대입구,77828,90561
20221118,경부선,가산디지털단지,19358,22188
20221118,7호선,가산디지털단지,47491,47145
20221118,2호선,강남,89703,88349
20221118,7호선,강남구청,18216,20409
20221118,7호선,건대입구,14722,15711
20221118,2호선,건대입구,41090,45228
20221118,9호선,고속터미널,16505,23023
20221118,3호선,고속터미널,54133,56241
20221118,7호선,고속터미널,20642,16232
20221118,9호선,국회의사당,18502,19089
20221118,5호선,김포공항,8435,8026
20221118,9호선,김포공항,8409,11916
20221118,3호선,도곡,5434,5266
20221118,1호선,동대문,11877,10527
20221118,2호선,뚝섬,25411,27125
20221118,4호선,사당,30936,26932
20221118,2호선,사당,44754,49738
20221118,1호선,서울역,59914,59000
20221118,신림선,서울지방병무청,2543,2889
20221118,2호선,서초,23336,22365
20221118,3호선,수서,20870,20499
20221118,분당선,수서,16238,17138
20221118,1호선,시청,27660,28156
20221118,2호선,신도림,54263,54360
20221118,경부선,신도림,4675,4786
20221118,경부선,영등포,46221,49131
20221118,5호선,올림픽공원(한국체대),5578,5197
20221118,5호선,왕십리(성동구청),4889,5766
20221118,1호선,청량리(서울시립대입구),21806,21890
20221118,4호선,혜화,40625,40655
20221118,2호선,홍대입구,70716,81493
20221117,경부선,가산디지털단지,19777,22751
20221117,7호선,가산디지털단지,48174,48382
20221117,2호선,강남,82969,80427
20221117,7호선,강남구청,18487,20590
20221117,7호선,건대입구,14188,14720
20221117,2호선,건대입구,37694,40150
20221117,7호선,고속터미널,16888,14155
20221117,3호선,고속터미널,43876,42693
20221117,9호선,고속터미널,14169,18216
20221117,9호선,국회의사당,18470,19157
20221117,9호선,김포공항,7283,11052
20221117,5호선,김포공항,7370,7452
20221117,3호선,도곡,5843,5846
20221117,1호선,동대문,11457,10814
20221117,2호선,뚝섬,24267,25750
20221117,2호선,사당,42042,46036
20221117,4호선,사당,28750,24435
20221117,1호선,서울역,52524,52124
20221117,신림선,서울지방병무청,2534,2379
20221117,2호선,서초,25557,25097
20221117,3호선,수서,19086,19230
20221117,분당선,수서,15098,16031
20221117,1호선,시청,27677,27612
20221117,경부선,신도림,4655,4783
20221117,2호선,신도림,52150,51690
20221117,경부선,영등포,40436,42327
20221117,5호선,올림픽공원(한국체대),5001,4179
20221117,5호선,왕십리(성동구청),4856,5523
20221117,1호선,청량리(서울시립대입구),20851,20833
20221117,4호선,혜화,38324,38279
20221117,2호선,홍대입구,64777,68706
20221116,7호선,가산디지털단지,48995,49011
20221116,경부선,가산디지털단지,19764,22870
20221116,2호선,강남,83765,80933
20221116,7호선,강남구청,18465,20722
20221116,2호선,건대입구,37280,39543
20221116,7호선,건대입구,14060,14517
20221116,3호선,고속터미널,42202,40380
20221116,9호선,고속터미널,13501,17269
20221116,7호선,고속터미널,16420,14197
20221116,9호선,국회의사당,19966,19793
20221116,9호선,김포공항,7020,11274
20221116,5호선,김포공항,7258,7319
20221116,3호선,도곡,5822,6065
20221116,1호선,동대문,11669,11076
20221116,2호선,뚝섬,24412,26257
20221116,2호선,사당,42091,46026
20221116,4호선,사당,28955,24952
20221116,1호선,서울역,51174,50582
20221116,신림선,서울지방병무청,2760,2975
20221116,2호선,서초,25041,24184
20221116,분당선,수서,14892,15587
20221116,3호선,수서,18876,19127
20221116,1호선,시청,27689,27596
20221116,2호선,신도림,52544,51800
20221116,경부선,신도림,4602,4813
20221116,경부선,영등포,40685,41927
20221116,5호선,올림픽공원(한국체대),4962,4237
20221116,5호선,왕십리(성동구청),4816,5536
20221116,1호선,청량리(서울시립대입구),20581,20557
20221116,4호선,혜화,38441,37339
20221116,2호선,홍대입구,61386,65159
20221115,경부선,가산디지털단지,19824,22953
20221115,7호선,가산디지털단지,48951,49140
20221115,2호선,강남,83743,80377
20221115,7호선,강남구청,18296,20647
20221115,2호선,건대입구,36097,38091
20221115,7호선,건대입구,14154,14992
20221115,9호선,고속터미널,13066,16800
20221115,7호선,고속터미널,16342,14431
20221115,3호선,고속터미널,42208,40033
20221115,9호선,국회의사당,18610,19278
20221115,5호선,김포공항,6869,6897
20221115,9호선,김포공항,6994,10272
20221115,3호선,도곡,5540,5376
20221115,1호선,동대문,11134,10512
20221115,2호선,뚝섬,23404,25070
20221115,2호선,사당,41027,44892
20221115,4호선,사당,28112,24540
20221115,1호선,서울역,50826,48685
20221115,신림선,서울지방병무청,2668,2910
20221115,2호선,서초,24196,23358
20221115,3호선,수서,18769,19209
20221115,분당선,수서,14677,15256
20221115,1호선,시청,27522,27654
20221115,2호선,신도림,52221,51288
20221115,경부선,신도림,4412,4644
20221115,경부선,영등포,39493,40919
20221115,5호선,올림픽공원(한국체대),5043,4277
20221115,5호선,왕십리(성동구청),4765,5484
20221115,1호선,청량리(서울시립대입구),20890,20859
20221115,4호선,혜화,36068,35650
20221115,2호선,홍대입구,58392,61111
20221114,7호선,가산디지털단지,48560,48468
20221114,경부선,가산디지털단지,19415,22380
20221114,2호선,강남,80945,77622
20221114,7호선,강남구청,17305,19094
20221114,7호선,건대입구,13557,14106
20221114,2호선,건대입구,35181,37162
20221114,3호선,고속터미널,37672,36302
20221114,9호선,고속터미널,12564,16342
20221114,7호선,고속터미널,17218,14180
20221114,9호선,국회의사당,18003,18653
20221114,9호선,김포공항,7143,10546
20221114,5호선,김포공항,7245,6962
20221114,3호선,도곡,5588,5347
20221114,1호선,동대문,11053,10623
20221114,2호선,뚝섬,22402,23994
20221114,2호선,사당,38702,42820
20221114,4호선,사당,27246,22517
20221114,1호선,서울역,52325,49644
20221114,신림선,서울지방병무청,2646,2971
20221114,2호선,서초,23016,22153
20221114,3호선,수서,18474,19031
20221114,분당선,수서,15318,15460
20221114,1호선,시청,25719,25978
20221114,경부선,신도림,4379,4489
20221114,2호선,신도림,48816,47909
20221114,경부선,영등포,37842,39332
20221114,5호선,올림픽공원(한국체대),4754,4084
20221114,5호선,왕십리(성동구청),4473,5127
20221114,1호선,청량리(서울시립대입구),20419,20162
20221114,4호선,혜화,33346,33102
20221114,2호선,홍대입구,57414,60199
20221113,7호선,가산디지털단지,12214,11154
20221113,경부선,가산디지털단지,5379,7387
20221113,2호선,강남,34995,33403
20221113,7호선,강남구청,6335,7141
20221113,2호선,건대입구,27663,28530
20221113,7호선,건대입구,7933,8777
20221113,3호선,고속터미널,48711,44825
20221113,9호선,고속터미널,12779,18269
20221113,7호선,고속터미널,16324,9433
20221113,9호선,국회의사당,5678,5321
20221113,5호선,김포공항,6384,6269
20221113,9호선,김포공항,6692,9744
20221113,3호선,도곡,2071,2130
20221113,1호선,동대문,10165,10269
20221113,2호선,뚝섬,11661,11667
20221113,2호선,사당,24709,27232
20221113,4호선,사당,18443,16687
20221113,1호선,서울역,36262,35316
20221113,신림선,서울지방병무청,1410,1679
20221113,2호선,서초,13291,12257
20221113,3호선,수서,11419,11584
20221113,분당선,수서,9236,9242
20221113,1호선,시청,11367,10478
20221113,2호선,신도림,33119,33603
20221113,경부선,신도림,2544,2887
20221113,경부선,영등포,36608,35869
20221113,5호선,올림픽공원(한국체대),3527,3710
20221113,5호선,왕십리(성동구청),2588,3000
