자치구,월,유형,건수
금천구,4,부상자수,106
영등포구,4,부상자수,273
동작구,4,부상자수,130
관악구,4,부상자수,169
서초구,4,부상자수,259
강남구,4,부상자수,429
송파구,4,부상자수,327
강동구,4,부상자수,149
종로구,5,발생건수,62
중구,5,발생건수,78
용산구,5,발생건수,82
성동구,5,발생건수,77
광진구,5,발생건수,93
동대문구,5,발생건수,125
중랑구,5,발생건수,110
성북구,5,발생건수,129
강북구,5,발생건수,90
도봉구,5,발생건수,47
노원구,5,발생건수,107
은평구,5,발생건수,88
서대문구,5,발생건수,71
마포구,5,발생건수,100
양천구,5,발생건수,121
강서구,5,발생건수,141
구로구,5,발생건수,114
금천구,5,발생건수,80
영등포구,5,발생건수,208
동작구,5,발생건수,113
관악구,5,발생건수,138
서초구,5,발생건수,173
강남구,5,발생건수,310
송파구,5,발생건수,217
강동구,5,발생건수,89
종로구,5,사망자수,0
중구,5,사망자수,0
용산구,5,사망자수,0
성동구,5,사망자수,1
광진구,5,사망자수,0
동대문구,5,사망자수,3
중랑구,5,사망자수,0
성북구,5,사망자수,1
강북구,5,사망자수,0
도봉구,5,사망자수,1
노원구,5,사망자수,0
은평구,5,사망자수,1
서대문구,5,사망자수,1
마포구,5,사망자수,4
양천구,5,사망자수,4
강서구,5,사망자수,1
구로구,5,사망자수,1
금천구,5,사망자수,2
영등포구,5,사망자수,3
동작구,5,사망자수,0
관악구,5,사망자수,0
서초구,5,사망자수,1
강남구,5,사망자수,0
송파구,5,사망자수,0
강동구,5,사망자수,0
종로구,5,부상자수,91
중구,5,부상자수,121
용산구,5,부상자수,104
성동구,5,부상자수,101
광진구,5,부상자수,116
동대문구,5,부상자수,153
중랑구,5,부상자수,157
성북구,5,부상자수,155
강북구,5,부상자수,115
도봉구,5,부상자수,54
노원구,5,부상자수,143
은평구,5,부상자수,126
서대문구,5,부상자수,94
마포구,5,부상자수,134
양천구,5,부상자수,161
강서구,5,부상자수,186
구로구,5,부상자수,152
금천구,5,부상자수,142
영등포구,5,부상자수,278
동작구,5,부상자수,158
관악구,5,부상자수,174
서초구,5,부상자수,243
강남구,5,부상자수,422
송파구,5,부상자수,299
강동구,5,부상자수,115
종로구,6,발생건수,70
중구,6,발생건수,67
용산구,6,발생건수,95
성동구,6,발생건수,89
광진구,6,발생건수,66
동대문구,6,발생건수,116
중랑구,6,발생건수,120
성북구,6,발생건수,118
강북구,6,발생건수,79
도봉구,6,발생건수,58
노원구,6,발생건수,125
은평구,6,발생건수,77
서대문구,6,발생건수,92
마포구,6,발생건수,110
양천구,6,발생건수,103
강서구,6,발생건수,144
구로구,6,발생건수,117
금천구,6,발생건수,71
영등포구,6,발생건수,174
동작구,6,발생건수,126
관악구,6,발생건수,137
서초구,6,발생건수,177
강남구,6,발생건수,339
송파구,6,발생건수,238
강동구,6,발생건수,82
종로구,6,사망자수,1
중구,6,사망자수,0
용산구,6,사망자수,1
성동구,6,사망자수,0
광진구,6,사망자수,0
동대문구,6,사망자수,0
중랑구,6,사망자수,0
성북구,6,사망자수,3
강북구,6,사망자수,0
도봉구,6,사망자수,0
노원구,6,사망자수,1
은평구,6,사망자수,2
서대문구,6,사망자수,0
마포구,6,사망자수,1
양천구,6,사망자수,1
강서구,6,사망자수,1
구로구,6,사망자수,2
금천구,6,사망자수,0
영등포구,6,사망자수,0
동작구,6,사망자수,1
관악구,6,사망자수,0
서초구,6,사망자수,0
강남구,6,사망자수,0
송파구,6,사망자수,2
강동구,6,사망자수,0
종로구,6,부상자수,90
중구,6,부상자수,93
용산구,6,부상자수,120
성동구,6,부상자수,127
광진구,6,부상자수,85
동대문구,6,부상자수,128
중랑구,6,부상자수,173
성북구,6,부상자수,151
강북구,6,부상자수,109
도봉구,6,부상자수,72
노원구,6,부상자수,186
은평구,6,부상자수,95
서대문구,6,부상자수,130
마포구,6,부상자수,151
양천구,6,부상자수,128
강서구,6,부상자수,184
구로구,6,부상자수,135
금천구,6,부상자수,97
영등포구,6,부상자수,236
동작구,6,부상자수,167
관악구,6,부상자수,177
서초구,6,부상자수,243
강남구,6,부상자수,467
송파구,6,부상자수,310
강동구,6,부상자수,106
종로구,7,발생건수,71
중구,7,발생건수,69
용산구,7,발생건수,96
성동구,7,발생건수,76
광진구,7,발생건수,81
동대문구,7,발생건수,122
